"","NumTypes","InitializationTheta","InitializationAlpha","Seed","meanInitial"
"1",2,2,1,2,-21888.3884742671
"2",3,1,2,2,-20387.4085879876
"3",4,2,1,3,-19390.0137512386
"4",5,1,2,3,-18783.9361881702
"5",6,1,2,1,-18495.2586743067
"6",7,2,2,3,-18300.3830677036
